code_type,code,canonical_icao,name
IATA,YTH,CYTH,Thompson Airport - Thompson - Canada
ICAO,CYTR,CYTR,CFB Trenton - Trenton - Canada
IATA,YTR,CYTR,CFB Trenton - Trenton - Canada
ICAO,CYTS,CYTS,Timmins/Victor M. Power - Timmins - Canada
IATA,YTS,CYTS,Timmins/Victor M. Power - Timmins - Canada
ICAO,CYTZ,CYTZ,Billy Bishop Toronto City Centre Airport - Toronto - Canada
IATA,YTZ,CYTZ,Billy Bishop Toronto City Centre Airport - Toronto - Canada
ICAO,CYUB,CYUB,Tuktoyaktuk Airport - Tuktoyaktuk - Canada
IATA,YUB,CYUB,Tuktoyaktuk Airport - Tuktoyaktuk - Canada
ICAO,CYUL,CYUL,Montreal / Pierre Elliott Trudeau International Airport - Montreal - Canada
IATA,YUL,CYUL,Montreal / Pierre Elliott Trudeau International Airport - Montreal - Canada
ICAO,CYUT,CYUT,Repulse Bay Airport - Repulse Bay - Canada
IATA,YUT,CYUT,Repulse Bay Airport - Repulse Bay - Canada
ICAO,CYUX,CYUX,Hall Beach Airport - Hall Beach - Canada
IATA,YUX,CYUX,Hall Beach Airport - Hall Beach - Canada
ICAO,CYUY,CYUY,Rouyn Noranda Airport - Rouyn - Canada
IATA,YUY,CYUY,Rouyn Noranda Airport - Rouyn - Canada
ICAO,CYVC,CYVC,La Ronge Airport - La Ronge - Canada
IATA,YVC,CYVC,La Ronge Airport - La Ronge - Canada
ICAO,CYVG,CYVG,Vermilion Airport - Vermillion - Canada
IATA,YVG,CYVG,Vermilion Airport - Vermillion - Canada
ICAO,CYVM,CYVM,Qikiqtarjuaq Airport - Broughton Island - Canada
IATA,YVM,CYVM,Qikiqtarjuaq Airport - Broughton Island - Canada
ICAO,CYVO,CYVO,Val-d'Or Airport - Val D'or - Canada
IATA,YVO,CYVO,Val-d'Or Airport - Val D'or - Canada
ICAO,CYVP,CYVP,Kuujjuaq Airport - Quujjuaq - Canada
IATA,YVP,CYVP,Kuujjuaq Airport - Quujjuaq - Canada
ICAO,CYVQ,CYVQ,Norman Wells Airport - Norman Wells - Canada
IATA,YVQ,CYVQ,Norman Wells Airport - Norman Wells - Canada
ICAO,CYVR,CYVR,Vancouver International Airport - Vancouver - Canada
IATA,YVR,CYVR,Vancouver International Airport - Vancouver - Canada
ICAO,CYVT,CYVT,Buffalo Narrows Airport - Buffalo Narrows - Canada
IATA,YVT,CYVT,Buffalo Narrows Airport - Buffalo Narrows - Canada
ICAO,CYVV,CYVV,Wiarton Airport - Wiarton - Canada
IATA,YVV,CYVV,Wiarton Airport - Wiarton - Canada
ICAO,CYWA,CYWA,Petawawa Airport - Petawawa - Canada
IATA,YWA,CYWA,Petawawa Airport - Petawawa - Canada
ICAO,CYWG,CYWG,Winnipeg / James Armstrong Richardson International Airport - Winnipeg - Canada
IATA,YWG,CYWG,Winnipeg / James Armstrong Richardson International Airport - Winnipeg - Canada
ICAO,CYWK,CYWK,Wabush Airport - Wabush - Canada
IATA,YWK,CYWK,Wabush Airport - Wabush - Canada
ICAO,CYWL,CYWL,Williams Lake Airport - Williams Lake - Canada
IATA,YWL,CYWL,Williams Lake Airport - Williams Lake - Canada
ICAO,CYWY,CYWY,Wrigley Airport - Wrigley - Canada
IATA,YWY,CYWY,Wrigley Airport - Wrigley - Canada
ICAO,CYXC,CYXC,Cranbrook/Canadian Rockies International Airport - Cranbrook - Canada
